"coordinates","name"
"POINT(39.670486 -3.78334)","Kizingo nursery"
"POINT(39.6826171875 -1.49397130662931)","Kamatish's School"
"POINT(33.22265625 6.31529853833003)","Test after commenting"
"POINT(38.487855 7.044651)","ict"
"POINT(39.90234375 3.16245553023785)","Test Add Data"
"POINT(12.83203125 6.66460756217257)","Mercy Image test"
"POINT(34.98046875 -0.703107352436478)","Buru Sec School"
"POINT(39.88699 -3.485907)","Sayuni nursery school"
"POINT(39.682212 -3.785518)","Mwazangombe pr sch"
"POINT(39.744492 -3.479406)","Kachororoni"
"POINT(39.766075 -3.438276)","Bale"
"POINT(39.694638 -3.464137)","Migodomani"
"POINT(39.92941 -3.475631)","Ufuoni3"
"POINT(37.6171875 3.16245553023785)","Kipepeo"
"POINT(39.19921875 6.31529853833003)","Simon's School"
"POINT(24.958656 60.186639)","Kallio Art School"
"POINT(39.672554 -3.784295)","Kizingo pre school"
"POINT(39.672738 -3.810652)","Vwevwesi nursery school"
"POINT(39.744397 -3.581305)","Magogoni"
"POINT(39.78441 -3.485453)","Danicha"
"POINT(39.657263 -3.779383)","Garashi nursery"
"POINT(39.671826 -3.784535)","Paul Harris Sec"
"POINT(39.672475 -3.784556)","Kizingo primary"
"POINT(39.672475 -3.784556)","Kizingo primary"
"POINT(39.735729 -3.428868)","Mangudho"
"POINT(39.767899 -3.523658)","Sokoke pri sch"
"POINT(39.790009 -3.554167)","Mrima wa kuku"
"POINT(39.75381 -3.693123)","Ngamani"
"POINT(39.753211 -3.653812)","Mikuluni"
"POINT(39.671826 -3.784535)","Paul Harris Sec"
"POINT(39.808995 -3.58077)","Konjora spe"
"POINT(39.671826 -3.784535)","Paul Harris Sec"
"POINT(39.717463 -3.565923)","Timboni"
"POINT(39.765704 -3.43866)","Bale"
"POINT(39.790419 -3.554127)","Mrima wa kuku"
"POINT(39.749063 -3.395598)","Madamani"
"POINT(39.727588 -3.692336)","Dunguni"
"POINT(39.672475 -3.784556)","Kizingo primary"
"POINT(39.673222 -3.8104)","Vwevwesi primary school"
"POINT(39.784538 -3.485691)","Danicha"
"POINT(36.9054487 -1.3072097)","Vision plaza"
"POINT(38.486948 7.044967)","gib"
"POINT(38.479348 7.049572)","eshe"
"POINT(36.94702148438 -1.33293467955381)","Pangani Primary School"
"POINT(37.5178005498057 -1.60747827674708)","Part primary school"
"POINT(40.1165771484357 -2.2790618517717)","Garsen Pri Sch"
"POINT(-3.485907 39.88699)","Sayuni nursery school"
"POINT(39.894083 -3.452099)","Kararacha primary school"
"POINT(36.8344116210981 -1.2814496704798)","Buru baptist"
"POINT(37.751952409744 -1.04290865246845)","buruburu baptist primary school"
"POINT(39.6873680000002 -3.63581099999997)","Makalangeni"
"POINT(39.7037699999999 -3.61492200000003)","Mwapula"
"POINT(39.7037699999999 -3.61492200000003)","Mwapula"
"POINT(39.7037699999999 -3.61492200000003)","Mwapula"
"POINT(36.8316650390614 -1.30451374360599)","Alliance high school"
"POINT(37.0568847656253 -1.70263021360231)","Strathmore"
"POINT(37.0682957949826 -1.38335875103052)","Mwapulas"
"POINT(36.0089349746684 -0.246333317044422)","Nakuru high school"
"POINT(39.7954144766241 -3.48617337108684)","Ezamoyo"
"POINT(-1.15376972395517 35.9492781406315)","Narok high school"
"POINT(-3.59661 39.683369)","Mbonga1"
"POINT(-3.464617 39.694913)","Migodomani"
"POINT(3.51342104563999 39.5507812500002)","Maranda High School"
"POINT(35.5078125 2.10889865924314)","Nyeri high school"
"POINT(37.3370361328125 -0.329588026053569)","Bukolwe sec"
"POINT(32.6953125 4.21494314139065)","Kericho High"
"POINT(28.125 -1.40610883543515)","Boniface Test"
"POINT(28.125 3.51342104564006)","Test Boniface"
"POINT(28.828125 0)","Boniface Part of"
"POINT(28.828125 0)","Boniface Part of"
"POINT(37.6171875 2.10889865924314)","Buchenya High school"
"POINT(36.0791015625 0)","Lunza sec school"
"POINT(37.705078125 0.703107352436478)","Image Test"
"POINT(36.40869140625 -0.922811662685694)","Part-of-test 2"
"POINT(34.98046875 0.351560293992271)","Koma Sec School"
"POINT(24.9588684 60.18697389)","kallio "
"POINT(37.96875 -13.2399454992863)","Buchenya Sec"
"POINT(36.0791015625 0.439448816413977)","Buchoke High"
"POINT(35.5078125 0)","Test school"
"POINT(36.8701171875 -0.615222552406841)","Test sec School"
"POINT(37.177734375 -1.40610883543515)","Backbone test"
"POINT(48.9135575294495 6.44389236551807)","hello part of"
"POINT(36.7822265625 -1.75753681130831)","Backbone Sch"
"POINT(36.0791015625 0.0878905905308369)","Backbone test"
"POINT(37.1200561523438 -1.04913570391281)","Thika High School"
"POINT(37.001953125 -0.516350432377746)","BackBone High"
"POINT(36.9140625 10.3149192858132)","Butere High"
"POINT(39.674096 -3.795858)","Neema nursery school"
"POINT(36.80419921875 -0.922811662685694)","Backbone 2"
"POINT(34.1015625 4.21494314139065)","Mpeketoni Sch"
"POINT(37.705078125 -0.351560293992271)","Mpeke High School"
"POINT(39.913624 -3.483925)","Chumani village nursery school"
"POINT(53.26171875 15.9613290815966)","name of image"
"POINT(39.808837 -3.580884)","Konjora"
"POINT(39.894336 -3.452016)","Kararacha pre school"
"POINT(39.894083 -3.452099)","Kararacha primary"
"POINT(38.4968615 7.0529118)","Hawassa University"
"POINT(38.49609375 4.91583280131316)","Musaimo Primary School"
"POINT(38.49609375 6.31529853833003)","Shule Jipya"
"POINT(14.4140625 28.6134594240044)","adc"
"POINT(83.3203125 42.8115217450979)","Test Subforms"
"POINT(-5.625 11.8673509114593)","Masomo Matiang'i"
"POINT(20.390625 18.3128108464255)","June test1"
"POINT(29.1796875 19.642587534013)","JLT"
"POINT(34.7209167480469 -6.25114158066831)","Test2"
"POINT(34.7209167480469 -6.25114158066831)","Test 3"
"POINT(29.53125 16.6361918783977)","fryt"
"POINT(38.671875 18.3128108464255)","Tuzo Primary school"
"POINT(39.0234375 0.703107352436491)","Backslash Test"
"POINT(38.3203125 2.81137119333114)","Theo School"
"POINT(38.3203125 2.81137119333114)","Theo School"
"POINT(39.796771 -3.620423)","Kwa maya"
"POINT(39.752981 -3.652977)","Mikuluni"
"POINT(39.727522 -3.692456)","Dunguni"
"POINT(38.3203125 2.81137119333114)","Theo School"
"POINT(33.75 -14.2643830875626)","Release test 22.1"
"POINT(33.75 -14.2643830875626)","Release test 22.1"
"POINT(38.3203125 2.81137119333114)","sub-release"
"POINT(49.921875 4.21494314139065)","Trees"
"POINT(49.921875 4.21494314139065)","Trees"
"POINT(39.686182 -3.79008)","Ack mwarakaya"
"POINT(35.5078125 20.632784250388)","123"
"POINT(11.25 19.9733487861106)","Cycl"
"POINT(27.0703125 15.6230368315283)","\N"
"\N","\N"
"POINT(39.375 3.65048183614677)","Recreate"
"POINT(35.1589965820313 8.61089423955451)","Boniface Test 1"
